# Object: Mlr 224 = GL 765.2
# RA: 0.406160
# Dec: 76.181200
# Parallax (mas): 0.000000

# Orbital Elements
Parameter,Value,Error,Fixed
P,11.620990433941609,0.12088700003813893,1
T,1993.2358446040148,0.10187487773239261,1
e,0.22623492053295263,0.021697302977260788,1
a,0.21784981786735166,0.5250278725647866,1
W,107.50280968711512,1.0225062110570593,1
w,75.97821143822065,4.139403335177588,1
i,82.2446428275088,0.9302865810002704,1
K1,7.54,0.0,0
K2,6.96,0.0,0
V0,-3.91,0.0,0

# Position Measurements
Time,PA_Obs,Rho_Obs,Err,PA_Fit,Rho_Fit
1971.6,275.6,0.21,0.04,282.90521884515243,0.16722018655628132
1971.57,275.6,0.17,0.04,282.6945721565527,0.16457700461871375
1971.67,280.0,0.21,0.04,283.3722604577923,0.17315349568115676
1972.65,288.6,0.2,0.04,288.0515877482607,0.2217621152893851
1973.58,296.6,0.19,0.04,291.6958609310718,0.21499673257182353
1974.5,291.0,0.13,0.04,296.4058853553942,0.17113160382378087
1979.58,116.3,0.17,0.08,105.76812087556482,0.20068788418783684
1983.07,287.0,0.18,0.04,281.76885495371454,0.15331513403675567
1984.55,286.2,0.22,0.04,289.13075978513893,0.22454585992447074
1993.3521,151.7,0.035,0.005,150.74249222461015,0.03289934074762841
1993.8438,264.7,0.052,0.005,262.4493309970692,0.05292720979549124

# Primary RV Measurements
Time,RV_Obs,Err,RV_Fit
1983.5422384977364,-10.69,0.51,-10.622108610039316
1983.569555166055,-11.25,0.51,-10.66197397668967
1983.6815794615404,-11.11,0.52,-10.802458129788334
1983.779936661557,-11.08,0.46,-10.896732216890324
1984.4597431045931,-12.14,0.5,-10.935181422076003
1984.7355135394885,-11.1,0.5,-10.71315098221416
1984.7546783567616,-10.58,0.46,-10.693771221623619
1985.4261391047762,-9.15,0.7,-9.75987028949709
1985.4919239458493,-9.9,0.47,-9.646308136483974
1985.4999126175026,-9.9,0.49,-9.632296224892176
1985.5026762631146,-9.81,0.51,-9.627437911280989
1985.5135783440169,-10.23,0.52,-9.608218106531677
1985.5602413529925,-10.5,0.55,-9.524982656903635
1985.570989015812,-9.92,0.5,-9.505592023197934
1985.5819483190178,-9.71,0.47,-9.485736331376248
1985.5847724724247,-9.97,0.46,-9.480606088225102
1985.5874129121198,-10.05,0.43,-9.475804573334468
1985.7294567399501,-9.93,0.51,-9.210627126559398
1986.3572390738789,-7.92,0.5,-7.902318685032983
1986.5511104289312,-7.79,0.49,-7.461886412585442
1987.5178864509203,-6.06,0.49,-5.0855286423070805
1987.6379654016723,-6.97,0.51,-4.773944195536789
1988.2382678878903,-2.71,0.46,-3.1780765633515915
1988.517147766338,-2.05,0.47,-2.4205250953119934
1989.5521650815926,0.47,0.49,0.39957446789403495
1990.537799548808,2.48,0.47,2.8044171305816885
1990.627892095917,3.05,0.42,2.986623752418353
1990.6795969648042,2.22,0.55,3.0867538422142387
1990.9230146210793,3.28,0.41,3.507391269884028
1991.5536306910972,4.44,0.42,4.04328699311899
1991.591443134583,4.56,0.47,4.041361648929447
1991.651707255414,4.8,0.46,4.028528705380966
1991.679033506415,4.63,0.43,4.018625634818003
1991.8430131894854,3.79,0.43,3.902297581749745
1992.271224115063,3.87,0.43,3.078311359660634
1992.6319614571328,2.2,0.44,1.7363801606147486
1993.306097963872,-1.42,0.47,-2.1249922520003635
1993.5384374916791,-2.52,0.47,-3.649763752959198
1993.9431010286232,-6.37,0.57,-6.17692005011066
1994.2860849456463,-8.24,0.5,-7.975679475808548
1994.4147595625357,-8.6,0.52,-8.542179302710887
1994.5322761040068,-9.21,0.5,-9.004591595034551
1994.6554705217113,-9.85,0.47,-9.43290228470692
1994.6880716287021,-10.14,0.49,-9.536680418517761
1986.5509258938469,-6.37,0.44,-7.462312476374185
1986.5865488312934,-7.28,0.49,-7.379833703810065
1987.5912739184403,-4.26,0.31,-4.8954501431422415
1990.5128914192699,2.72,0.26,2.7524214305350716
1990.584005874518,2.53,0.26,2.899047498911277
1990.5948534710258,2.71,0.38,2.9209077799449963
1990.7506322944748,3.6,0.25,3.2185708449859103
1991.5505179620538,4.39,0.39,4.043240618707911
1992.3172585000714,1.87,0.36,2.940731815350018
1992.604769089895,1.5,0.38,1.858285310977334
1993.5054399354267,-3.68,0.13,-3.4334363880659295

# Secondary RV Measurements
Time,RV_Obs,Err,RV_Fit
1983.5422384977364,2.81,0.66,2.2857925631132154
1983.569555166055,2.9,0.66,2.322591363098155
1983.6815794615404,3.15,0.67,2.4522690428815395
1983.779936661557,2.89,0.55,2.5392912771295304
1984.4597431045931,2.16,0.63,2.574782851147078
1984.7355135394885,2.14,0.62,2.369831675889994
1984.7546783567616,3.37,0.55,2.35194266611411
1985.4261391047762,2.84,1.0,1.4898802672280826
1985.4919239458493,1.67,0.57,1.3850536644467457
1985.4999126175026,2.09,0.6,1.3721195922081622
1985.5026762631146,0.9,0.65,1.3676349950286042
1985.5135783440169,1.61,0.67,1.3498936367984706
1985.5602413529925,0.58,0.73,1.2730609140648932
1985.570989015812,1.5,0.64,1.255161867567323
1985.5819483190178,1.92,0.57,1.2368335366549985
1985.5847724724247,1.46,0.55,1.2320979275924007
1985.5874129121198,1.24,0.47,1.2276657600010479
1985.7294567399501,0.6,0.64,0.982886578362522
1986.3572390738789,1.03,0.63,-0.22478275227724653
1986.5511104289312,-0.54,0.6,-0.6313356191519
1987.5178864509203,-1.48,0.61,-2.8248966378703875
1987.6379654016723,-3.04,0.66,-3.1125130502737335
1988.2382678878903,-4.88,0.53,-4.585621633829301
1988.517147766338,-6.7,0.57,-5.284899912019698
1989.5521650815926,-8.25,0.62,-7.888068739594494
1990.537799548808,-10.72,0.57,-10.107923505152328
1990.627892095917,-10.69,0.45,-10.276114233001557
1990.6795969648042,-12.66,0.77,-10.368542008197759
1990.9230146210793,-11.89,0.43,-10.75682271066218
1991.5536306910972,-11.53,0.49,-11.251495685955991
1991.591443134583,-11.99,0.58,-11.249718445165644
1991.651707255414,-11.26,0.58,-11.237872651120892
1991.679033506415,-11.62,0.49,-11.228731355216619
1991.8430131894854,-13.35,0.5,-11.121351613922842
1992.271224115063,-11.82,0.49,-10.360748947379047
1992.6319614571328,-11.56,0.54,-9.122043225182846
1993.306097963872,-6.09,0.57,-5.557699459691972
1993.5384374916791,-5.77,0.57,-4.15021807419151
1993.9431010286232,-1.74,0.77,-1.8174584152824682
1994.2860849456463,0.76,0.63,-0.15706509925364864
1994.4147595625357,0.22,0.68,0.36585781788697247
1994.5322761040068,0.12,0.63,0.7926999338780467
1994.6554705217113,0.94,0.57,1.1880636474217718
1994.6880716287021,0.82,0.61,1.2838588478625486
1986.5509258938469,-0.2,0.8,-0.6309423295007521
1986.5865488312934,-0.98,0.9,-0.7070765810984017
1987.5912739184403,-4.26,0.31,-3.000353714022547
1990.5128914192699,-9.69,0.49,-10.059927474340068
1990.584005874518,-10.26,0.46,-10.195274614379642
1990.5948534710258,-10.02,0.69,-10.215453335333844
1990.7506322944748,-10.54,0.48,-10.490219241525455
1991.5505179620538,-10.79,0.75,-11.251452878807303
1992.3172585000714,-12.88,9.67,-10.233752444938478
1992.604769089895,-12.09,9.64,-9.234571056286772
1993.5054399354267,-3.68,0.53,-4.349904872554527

# Statistics
Metric,Value
CHI2,237.95374620227327
CHI2/N_Theta,0.15120035557125533
CHI2/N_Rho,0.41551386318351113
CHI2/N_RV1,1.813076275070221
CHI2/N_RV2,2.4000126303110676
RMS_Theta,3.986938325645383
RMS_Rho,0.007326234870156413
RMS_RV1,0.5388468504072405
RMS_RV2,0.9002454146495451
Parallax_mas,0.0
Total_Mass_Msun,0.0
M(1+2)_sin3i,1.7689342722340435
M1_Msun,0.8728203707960506
M2_Msun,0.9455554016957214
