# Object: HD25811
# RA: 61.568375
# Dec: 19.874600
# Parallax (mas): 4.936900

# Orbital Elements
Parameter,Value,Error,Fixed
P,15.939423610315266,0.06512888503583021,1
T,1997.3369204546104,0.7073573678421078,1
e,0.7288980783416957,0.11919501376709256,1
a,0.06856632309060816,0.15430662782797824,1
W,89.96346717977984,6.695728583116885,1
w,244.1279162730784,14.809227352998068,1
i,116.11243954346175,8.585073569373963,1
K1,0.0,0.0,0
K2,0.0,0.0,0
V0,0.0,0.0,0

# Position Measurements
Time,PA_Obs,Rho_Obs,Err,PA_Fit,Rho_Fit
1998.7747,86.9,0.06,0.02,86.79777724344399,0.05299212696085399
1999.8185,79.4,0.0681,0.01,77.95188564054376,0.0690840836693528
1999.8213,78.9,0.0683,0.01,77.93312261682092,0.06911380357732845
2001.7614,67.3,0.076,0.02,67.0738692245784,0.07955072069422058
2001.7614,66.9,0.076,0.01,67.0738692245784,0.07955072069422058
2002.797,60.78,0.088,0.005,61.86417625968369,0.07946306552779311
2004.8158,49.0,0.074,0.02,50.835792739123406,0.07252660238459512
2015.9105,78.3,0.0709,0.005,76.95169640607617,0.07062321574905361
2017.9319,65.6,0.0769,0.005,65.90949988431822,0.07979200545419478
2018.8409,61.1,0.0769,0.005,61.33373299611162,0.07930096425794611
2019.8569,55.6,0.0769,0.005,56.00026391280136,0.07651962982465581
2022.6857,36.9,0.0541,0.005,36.89970248792031,0.06055502121500614
2023.9105,26.1,0.0551,0.005,24.398757691183846,0.05172740779429076

# Statistics
Metric,Value
CHI2,6.322384437769413
CHI2/N_Theta,0.03149673547839849
CHI2/N_Rho,0.45484052896540256
CHI2/N_RV1,0.0
CHI2/N_RV2,0.0
RMS_Theta,0.9034296413095265
RMS_Rho,0.004315482793056425
RMS_RV1,0.0
RMS_RV2,0.0
Parallax_mas,4.9369
Total_Mass_Msun,10.544460536171885
M(1+2)_sin3i,0.0
M1_Msun,0.0
M2_Msun,0.0
